side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,p_build,p_raid,p_fortify,p_rebuild,p_wait,e_build,e_raid,e_fortify,e_rebuild,e_wait,p_holz_waste,p_stein_waste,p_korn_waste,e_holz_waste,e_stein_waste,e_korn_waste,p_holz,p_stein,p_korn,e_holz,e_stein,e_korn,final_shielded_fields,final_shield_points,final_max_shield
4,37,utility_economist_vs_rusher,utility_economist,rusher,enemy,territory,52,23,26,26,12,23,11,22,2,31,125,115,10,32,32,22,2,65,17,54,32,32,7,14,71,0,0,58,201,52,106,1,7,560,12,12,12,4,5,5,7,21,3
4,37,utility_economist_vs_utility_balancer,utility_economist,utility_balancer,player,full_board_majority,23,23,12,11,19,18,18,17,0,33,24,16,8,58,1,7,2,11,17,15,25,1,6,16,9,33,0,5,38,31,6,36,37,13,12,12,0,4,12,12,19,50,3
4,37,utility_economist_vs_utility_rusher,utility_economist,utility_rusher,enemy,territory,19,23,10,9,11,23,10,22,3,30,50,46,4,9,2,10,2,11,15,21,5,2,6,15,29,4,0,5,29,14,0,32,33,7,8,4,1,0,12,6,5,5,1
4,37,utility_economist_vs_utility_economist,utility_economist,utility_economist,player,full_board_majority,18,23,9,9,19,18,18,17,0,33,14,12,2,37,0,9,2,12,17,6,18,0,7,16,8,19,0,5,15,21,4,20,19,10,4,12,1,12,12,0,16,35,3
4,37,utility_economist_vs_utility_fortifier,utility_economist,utility_fortifier,player,full_board_majority,18,23,9,9,19,18,18,17,0,33,10,7,3,44,0,9,2,10,18,5,20,0,5,15,5,24,0,5,2,12,12,7,21,5,4,12,4,12,8,0,19,41,3
4,37,utility_economist_vs_utility_aggro_turtle,utility_economist,utility_aggro_turtle,player,full_board_majority,18,23,9,9,19,18,18,17,0,33,16,9,7,37,2,7,2,10,18,7,18,0,5,15,9,19,2,5,8,15,8,8,17,5,4,12,6,12,12,4,13,30,3
4,37,utility_economist_vs_utility_opportunist,utility_economist,utility_opportunist,enemy,full_board_majority,22,23,11,11,15,22,14,21,0,33,28,22,6,47,1,7,2,11,17,11,23,1,6,16,17,24,0,5,39,22,3,17,34,34,12,12,11,0,12,9,19,41,3
4,37,utility_fortifier_vs_phase_player,utility_fortifier,phase_player,player,full_board_majority,25,23,13,12,19,18,18,17,0,33,43,25,18,42,1,12,2,14,20,17,25,1,8,13,26,17,0,6,6,6,12,6,48,96,3,12,2,7,12,12,17,21,3
4,37,utility_fortifier_vs_rusher,utility_fortifier,rusher,enemy,territory,30,23,15,15,9,23,8,22,5,28,77,61,16,19,3,10,2,37,20,24,19,3,11,8,53,0,0,26,18,5,1,19,5,135,9,2,12,11,10,6,1,1,1
4,37,utility_fortifier_vs_utility_balancer,utility_fortifier,utility_balancer,enemy,full_board_majority,17,23,9,8,18,19,17,18,0,33,6,3,3,36,1,8,2,11,17,3,17,1,6,16,3,19,0,5,0,3,11,2,15,3,4,12,12,12,12,12,15,33,3
4,37,utility_fortifier_vs_utility_rusher,utility_fortifier,utility_rusher,enemy,territory,16,23,8,8,10,23,9,22,4,29,27,23,4,16,0,5,2,13,15,9,10,0,8,14,18,6,0,5,0,5,2,6,24,5,11,12,11,12,12,7,8,12,2
