side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,p_build,p_raid,p_fortify,p_rebuild,p_wait,e_build,e_raid,e_fortify,e_rebuild,e_wait,p_holz_waste,p_stein_waste,p_korn_waste,e_holz_waste,e_stein_waste,e_korn_waste,p_holz,p_stein,p_korn,e_holz,e_stein,e_korn,final_shielded_fields,final_shield_points,final_max_shield
4,37,rusher_vs_utility_balancer,rusher,utility_balancer,player,full_board_majority,25,23,13,12,20,17,19,16,0,33,75,70,5,5,0,4,2,29,6,46,0,0,21,27,29,5,0,8,6,2,51,9,15,25,12,12,6,2,12,12,0,0,0
4,37,rusher_vs_utility_rusher,rusher,utility_rusher,enemy,territory,20,23,10,10,10,23,9,22,4,29,49,45,4,4,0,4,2,29,7,27,0,0,21,22,22,4,0,8,0,0,44,4,10,12,2,3,10,4,12,8,0,0,0
4,37,rusher_vs_utility_economist,rusher,utility_economist,player,full_board_majority,25,23,13,12,22,15,21,14,0,33,77,73,4,4,0,10,2,22,9,46,0,0,16,24,31,4,0,6,3,20,49,43,17,7,12,12,8,7,12,12,0,0,0
4,37,rusher_vs_utility_fortifier,rusher,utility_fortifier,player,full_board_majority,30,23,15,15,20,17,19,16,0,33,84,68,16,24,0,7,2,29,14,52,0,0,22,19,32,24,0,7,33,0,101,46,27,34,4,0,9,12,5,0,4,6,2
4,37,rusher_vs_utility_aggro_turtle,rusher,utility_aggro_turtle,player,full_board_majority,30,23,15,15,20,17,19,16,0,33,84,68,16,24,0,7,2,29,14,52,0,0,22,19,32,24,0,7,33,0,101,46,27,34,4,0,9,12,5,0,4,6,2
4,37,rusher_vs_utility_opportunist,rusher,utility_opportunist,enemy,territory,20,23,10,10,10,23,9,22,4,29,49,45,4,4,0,4,2,29,7,27,0,0,21,22,22,4,0,8,0,0,44,4,10,12,2,3,10,4,12,8,0,0,0
4,37,utility_balancer_vs_phase_player,utility_balancer,phase_player,player,territory,21,23,11,10,23,11,22,10,3,30,46,36,10,18,1,13,2,13,19,24,8,0,7,11,22,10,1,6,5,19,24,0,35,27,4,12,9,7,12,12,7,8,2
4,37,utility_balancer_vs_rusher,utility_balancer,rusher,player,full_board_majority,45,23,23,22,21,16,20,15,0,33,104,87,17,38,10,18,2,63,18,44,38,10,10,15,60,0,0,53,116,149,29,0,0,315,12,0,4,1,0,12,7,19,3
4,37,utility_balancer_vs_utility_balancer,utility_balancer,utility_balancer,enemy,full_board_majority,19,23,10,9,18,19,17,18,0,33,35,29,6,19,0,7,2,13,19,15,9,0,7,14,20,10,0,6,17,22,7,21,25,10,4,12,12,12,12,7,9,13,3
4,37,utility_balancer_vs_utility_rusher,utility_balancer,utility_rusher,enemy,territory,16,23,8,8,13,23,12,22,1,32,27,25,2,11,0,5,2,16,16,10,7,0,8,16,17,4,0,8,12,13,3,0,22,8,12,12,4,4,12,7,7,9,3
4,37,utility_balancer_vs_utility_economist,utility_balancer,utility_economist,player,full_board_majority,16,23,8,8,19,18,18,17,0,33,29,28,1,11,0,7,2,13,17,14,5,0,7,16,15,6,0,6,4,16,5,14,10,2,4,12,11,4,12,10,9,10,2
4,37,utility_balancer_vs_utility_fortifier,utility_balancer,utility_fortifier,player,full_board_majority,18,23,9,9,19,18,18,17,0,33,28,27,1,23,0,7,2,13,18,13,9,0,7,15,15,14,0,6,6,20,11,23,23,1,4,12,12,4,12,3,14,22,3
4,37,utility_balancer_vs_utility_aggro_turtle,utility_balancer,utility_aggro_turtle,player,full_board_majority,18,23,9,9,19,18,18,17,0,33,34,28,6,18,0,7,2,13,19,15,7,0,7,14,19,11,0,6,9,16,15,13,24,9,4,12,9,12,12,3,10,12,3
4,37,utility_balancer_vs_utility_opportunist,utility_balancer,utility_opportunist,enemy,territory,16,23,8,8,13,23,12,22,1,32,27,25,2,12,0,5,2,15,16,10,7,0,8,16,17,5,0,7,12,13,3,0,22,6,12,12,4,4,12,7,8,10,3
4,37,utility_rusher_vs_phase_player,utility_rusher,phase_player,player,territory,23,23,12,11,23,14,22,13,0,33,55,47,8,15,0,14,2,14,24,27,4,0,7,9,28,11,0,7,12,27,29,14,52,21,0,12,12,12,12,12,7,7,1
4,37,utility_rusher_vs_rusher,utility_rusher,rusher,player,territory,39,23,20,19,23,12,22,11,2,31,90,83,7,26,6,15,2,60,18,43,26,6,10,13,47,0,0,50,128,63,45,0,0,221,12,12,6,6,1,12,7,19,3
4,37,utility_rusher_vs_utility_balancer,utility_rusher,utility_balancer,player,full_board_majority,17,23,9,8,19,18,18,17,0,33,26,21,5,16,0,5,2,15,18,15,4,0,9,15,11,12,0,6,0,23,5,5,17,7,3,12,12,12,12,10,9,11,2
4,37,utility_rusher_vs_utility_rusher,utility_rusher,utility_rusher,enemy,full_board_majority,17,23,9,8,18,19,17,18,0,33,33,28,5,10,0,5,2,17,16,16,6,0,9,17,17,4,0,8,18,17,7,0,25,9,12,4,4,1,12,12,5,5,1
4,37,utility_rusher_vs_utility_economist,utility_rusher,utility_economist,player,full_board_majority,16,23,8,8,19,18,18,17,0,33,28,28,0,8,0,8,2,15,17,14,4,0,8,16,14,4,0,7,9,20,0,14,5,4,4,12,12,6,12,6,8,8,1
4,37,utility_rusher_vs_utility_fortifier,utility_rusher,utility_fortifier,player,full_board_majority,17,23,9,8,19,18,18,17,0,33,26,21,5,16,0,5,2,15,18,15,4,0,9,15,11,12,0,6,0,23,4,5,17,5,4,12,12,12,12,12,9,11,2
4,37,utility_rusher_vs_utility_aggro_turtle,utility_rusher,utility_aggro_turtle,player,full_board_majority,17,23,9,8,19,18,18,17,0,33,26,21,5,16,0,5,2,15,18,15,4,0,9,15,11,12,0,6,0,23,4,5,17,5,4,12,12,12,12,12,9,11,2
4,37,utility_rusher_vs_utility_opportunist,utility_rusher,utility_opportunist,enemy,full_board_majority,17,23,9,8,18,19,17,18,0,33,33,28,5,11,0,5,2,16,16,16,6,0,9,17,17,5,0,7,18,17,7,0,25,7,12,4,4,1,12,12,6,6,1
4,37,utility_economist_vs_phase_player,utility_economist,phase_player,player,territory,21,23,11,10,23,11,22,10,3,30,51,44,7,16,0,12,2,12,21,24,8,0,5,9,27,8,0,7,11,13,15,0,31,34,4,6,6,3,12,12,8,9,2
4,37,utility_economist_vs_rusher,utility_economist,rusher,player,full_board_majority,27,23,14,13,20,17,19,16,0,33,75,65,10,13,1,8,2,28,21,31,13,1,7,12,44,0,0,21,56,14,4,1,0,99,10,5,0,4,6,12,2,3,2
4,37,utility_economist_vs_utility_balancer,utility_economist,utility_balancer,enemy,full_board_majority,19,23,10,9,18,19,17,18,0,33,36,31,5,18,0,8,2,12,19,17,7,0,6,14,19,11,0,6,6,32,13,25,24,12,4,12,12,12,12,5,10,13,3
4,37,utility_economist_vs_utility_rusher,utility_economist,utility_rusher,enemy,full_board_majority,17,23,9,8,18,19,17,18,0,33,37,34,3,8,0,8,2,14,16,17,4,0,7,17,20,4,0,7,14,18,9,0,27,7,12,4,1,2,12,7,5,5,1
4,37,utility_economist_vs_utility_economist,utility_economist,utility_economist,enemy,full_board_majority,16,23,8,8,17,20,16,19,0,33,30,29,1,8,0,8,2,13,16,14,4,0,7,17,16,4,0,6,3,19,6,6,10,6,4,12,12,4,12,10,7,7,1
4,37,utility_economist_vs_utility_fortifier,utility_economist,utility_fortifier,enemy,full_board_majority,17,23,9,8,18,19,17,18,0,33,26,25,1,16,0,8,2,12,17,12,8,0,6,16,14,8,0,6,3,22,6,10,19,8,4,12,12,12,12,12,11,15,3
4,37,utility_economist_vs_utility_aggro_turtle,utility_economist,utility_aggro_turtle,enemy,full_board_majority,19,23,10,9,18,19,17,18,0,33,36,31,5,18,0,8,2,12,19,17,7,0,6,14,19,11,0,6,6,32,13,25,24,12,4,12,12,12,12,5,10,13,3
4,37,utility_economist_vs_utility_opportunist,utility_economist,utility_opportunist,player,full_board_majority,17,23,9,8,19,18,18,17,0,33,36,33,3,8,0,8,2,14,16,17,4,0,7,17,19,4,0,7,14,18,9,0,27,7,12,4,1,2,12,9,5,5,1
4,37,utility_fortifier_vs_phase_player,utility_fortifier,phase_player,player,full_board_majority,23,23,12,11,21,16,20,15,0,33,45,29,16,27,0,12,2,14,20,19,15,0,8,13,26,12,0,6,8,18,11,0,35,73,4,12,12,7,12,12,9,10,2
4,37,utility_fortifier_vs_rusher,utility_fortifier,rusher,enemy,territory,56,23,28,28,13,23,12,22,1,32,134,121,13,40,25,19,2,81,18,57,40,25,10,14,77,0,0,71,206,78,163,1,0,546,12,12,12,1,1,8,11,26,3
4,37,utility_fortifier_vs_utility_balancer,utility_fortifier,utility_balancer,enemy,full_board_majority,18,23,9,9,18,19,17,18,0,33,35,29,6,18,0,6,2,13,19,15,8,0,7,14,20,10,0,6,2,16,14,13,22,10,4,12,9,12,12,3,9,12,3
4,37,utility_fortifier_vs_utility_rusher,utility_fortifier,utility_rusher,enemy,full_board_majority,16,23,8,8,15,22,14,21,0,33,29,23,6,11,0,4,2,16,18,10,7,0,9,15,19,4,0,7,4,14,2,7,21,1,2,12,12,12,12,3,5,5,1
4,37,utility_fortifier_vs_utility_economist,utility_fortifier,utility_economist,enemy,territory,16,23,8,8,13,23,12,22,1,32,25,24,1,15,0,5,2,14,15,10,9,0,8,17,15,6,0,6,0,20,0,9,16,9,10,12,10,4,12,6,11,14,2
4,37,utility_fortifier_vs_utility_fortifier,utility_fortifier,utility_fortifier,player,full_board_majority,17,23,9,8,22,15,21,14,0,33,24,23,1,22,0,6,2,13,17,13,10,0,7,16,11,12,0,6,0,17,9,8,17,1,1,12,7,7,12,11,14,21,3
4,37,utility_fortifier_vs_utility_aggro_turtle,utility_fortifier,utility_aggro_turtle,player,full_board_majority,18,23,9,9,19,18,18,17,0,33,34,28,6,19,0,6,2,13,19,15,8,0,7,14,19,11,0,6,2,16,14,13,22,10,4,12,9,12,12,2,10,13,3
4,37,utility_fortifier_vs_utility_opportunist,utility_fortifier,utility_opportunist,enemy,full_board_majority,16,23,8,8,18,19,17,18,0,33,25,22,3,11,0,5,2,15,16,12,6,0,8,17,13,5,0,7,0,20,1,2,14,4,12,12,12,4,12,12,8,8,1
4,37,utility_aggro_turtle_vs_phase_player,utility_aggro_turtle,phase_player,player,territory,21,23,11,10,23,11,22,10,3,30,46,36,10,18,1,13,2,13,19,24,8,0,7,11,22,10,1,6,5,18,24,0,35,27,4,12,9,7,12,12,7,8,2
4,37,utility_aggro_turtle_vs_rusher,utility_aggro_turtle,rusher,enemy,full_board_majority,44,23,22,22,16,21,15,20,0,33,98,78,20,40,9,17,2,62,18,37,40,9,10,15,61,0,0,52,155,64,42,0,0,306,12,12,6,0,1,8,7,19,3
4,37,utility_aggro_turtle_vs_utility_balancer,utility_aggro_turtle,utility_balancer,enemy,full_board_majority,17,23,9,8,18,19,17,18,0,33,23,21,2,23,0,7,2,12,17,11,12,0,6,16,12,11,0,6,0,13,9,12,17,9,3,12,2,4,12,10,14,21,3
4,37,utility_aggro_turtle_vs_utility_rusher,utility_aggro_turtle,utility_rusher,player,full_board_majority,17,23,9,8,19,18,18,17,0,33,29,25,4,13,0,5,2,15,18,13,6,0,8,15,16,7,0,7,2,14,10,12,24,0,4,12,12,12,12,11,8,9,2
4,37,utility_aggro_turtle_vs_utility_economist,utility_aggro_turtle,utility_economist,player,full_board_majority,16,23,8,8,19,18,18,17,0,33,28,22,6,12,0,7,2,12,17,12,7,0,6,16,16,5,0,6,0,16,10,15,13,2,2,12,12,12,7,5,6,6,1
