side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,natural_winner,natural_win_reason,timeout_margin,timeout_controlled_diff,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,tunnel_entrance,tunnel_extend,tunnel_raid,repair_build,tunnel_raid_takeovers,shield_bypassed,collapsed_fields_total,p_build,p_raid,p_fortify,p_rebuild,p_wait,p_tunnel_entrance,p_tunnel_extend,p_tunnel_raid,p_repair_build,e_build,e_raid,e_fortify,e_rebuild,e_wait,e_tunnel_entrance,e_tunnel_extend,e_tunnel_raid,e_repair_build,p_holz_waste,p_stein_waste,p_korn_waste,e_holz_waste,e_stein_waste,e_korn_waste,p_holz,p_stein,p_korn,e_holz,e_stein,e_korn,final_shielded_fields,final_shield_points,final_max_shield,collapsed_fields_final,tunnel_edges_final,tunnel_nodes_final,network_components_final,largest_tunnel_component,fields_with_tunnel_entrance,max_tunnel_pressure_final,avg_tunnel_pressure_final_x100
4,37,tunnel_all_in_probe_vs_rusher,tunnel_all_in_probe,rusher,enemy,domination,enemy,domination,5,0,4,23,2,2,1,7,0,6,29,4,3,3,0,0,0,0,0,11,1,0,0,0,0,0,0,2,0,0,0,6,1,0,0,0,2,3,0,0,5,0,0,0,0,0,0,1,0,0,3,1,1,6,2,2,0,0,0,0,0,0,0,0,0,1,1,3
4,37,tunnel_all_in_probe_vs_phase_player,tunnel_all_in_probe,phase_player,enemy,domination,enemy,domination,5,0,10,23,5,5,1,13,0,12,23,10,6,6,0,3,1,2,1,25,2,2,3,0,3,3,0,2,0,0,0,18,2,2,3,0,8,6,3,1,7,0,0,0,0,0,0,2,0,3,2,2,0,2,5,12,11,2,2,1,0,2,3,1,3,2,3,16
4,37,utility_balancer_vs_opening_resource_spammer,utility_balancer,opening_resource_spammer,player,territory,player,territory,5,0,51,23,26,25,23,13,22,12,1,32,121,84,37,62,9,9,1,69,0,0,0,0,0,0,0,17,44,62,9,11,0,0,0,0,15,77,0,0,58,0,0,0,0,149,38,52,254,9,174,12,9,6,6,6,6,10,22,3,0,0,0,0,0,0,0,0
4,37,utility_balancer_vs_tunnel_all_in_probe,utility_balancer,tunnel_all_in_probe,enemy,full_board_majority,enemy,full_board_majority,5,0,34,23,17,17,15,22,14,21,0,33,24,24,0,31,3,3,1,34,2,29,41,1,41,41,1,31,24,31,3,7,0,0,0,0,2,0,0,0,27,2,29,41,1,1,24,24,54,80,3,7,12,12,5,5,0,4,5,2,0,25,23,1,23,2,3,141
4,37,utility_balancer_vs_utility_balancer,utility_balancer,utility_balancer,player,full_board_majority,player,full_board_majority,5,0,17,23,9,8,19,18,18,17,0,33,9,7,2,35,1,5,2,13,0,0,0,0,0,0,0,18,5,16,0,7,0,0,0,0,15,4,19,1,6,0,0,0,0,0,19,3,2,9,9,4,12,5,12,12,11,17,33,3,0,0,0,0,0,0,0,0
4,37,utility_balancer_vs_utility_tunneler,utility_balancer,utility_tunneler,player,full_board_majority,player,full_board_majority,5,0,21,23,11,10,20,17,19,16,0,33,17,16,1,44,1,6,2,13,7,0,0,0,0,0,0,16,9,27,1,6,0,0,0,0,17,8,17,0,7,7,0,0,0,48,30,3,16,28,16,4,12,0,12,12,12,21,43,3,0,0,0,0,0,7,1,19
4,37,utility_balancer_vs_rusher,utility_balancer,rusher,enemy,territory,enemy,territory,5,0,25,23,13,12,13,23,12,22,1,32,61,54,7,8,2,5,2,40,0,0,0,0,0,0,0,21,22,8,2,16,0,0,0,0,11,39,0,0,24,0,0,0,0,26,2,3,1,5,97,2,3,2,6,12,5,0,0,0,0,0,0,0,0,0,0,0
4,37,utility_balancer_vs_phase_player,utility_balancer,phase_player,player,full_board_majority,player,full_board_majority,5,0,27,23,14,13,19,18,18,17,0,33,60,36,24,42,1,9,2,13,0,0,0,0,0,0,0,19,24,25,1,7,0,0,0,0,14,36,17,0,6,0,0,0,0,28,20,9,17,82,83,10,12,3,4,12,12,13,16,3,0,0,0,0,0,0,0,0
4,37,utility_tunneler_vs_opening_resource_spammer,utility_tunneler,opening_resource_spammer,enemy,domination,enemy,domination,5,0,14,23,7,7,1,22,0,21,14,19,27,25,2,2,0,2,1,27,2,0,0,0,0,0,0,10,7,2,0,15,2,0,0,0,9,20,0,0,12,0,0,0,0,0,0,0,50,8,7,2,1,3,6,6,3,0,0,0,0,0,0,0,0,2,1,5
4,37,utility_tunneler_vs_tunnel_all_in_probe,utility_tunneler,tunnel_all_in_probe,player,domination,player,domination,5,0,11,23,6,5,15,1,14,0,21,12,7,7,0,3,0,1,1,24,5,5,4,0,4,4,0,10,7,3,0,7,3,0,0,0,2,0,0,0,17,2,5,4,0,0,2,0,0,0,1,0,12,7,1,3,1,1,1,1,0,5,6,1,6,5,3,41
