side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,natural_winner,natural_win_reason,timeout_margin,timeout_controlled_diff,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,p_build,p_raid,p_fortify,p_rebuild,p_wait,e_build,e_raid,e_fortify,e_rebuild,e_wait,p_holz_waste,p_stein_waste,p_korn_waste,e_holz_waste,e_stein_waste,e_korn_waste,p_holz,p_stein,p_korn,e_holz,e_stein,e_korn,final_shielded_fields,final_shield_points,final_max_shield
4,37,utility_aggro_turtle_vs_utility_opportunist,utility_aggro_turtle,utility_opportunist,enemy,full_board_majority,enemy,full_board_majority,5,0,22,23,11,11,18,19,17,18,0,33,21,18,3,55,0,6,2,13,18,8,28,0,6,15,13,27,0,7,33,28,0,42,32,1,4,12,10,12,12,0,25,52,3
4,37,utility_opportunist_vs_phase_player,utility_opportunist,phase_player,enemy,full_board_majority,enemy,full_board_majority,5,0,23,23,12,11,18,19,17,18,0,33,44,29,15,33,0,11,2,13,19,18,20,0,7,14,26,13,0,6,6,26,1,0,35,82,11,12,4,3,12,12,12,16,3
4,37,utility_opportunist_vs_rusher,utility_opportunist,rusher,enemy,territory,enemy,territory,5,0,26,23,13,13,10,23,9,22,4,29,64,58,6,6,3,9,2,38,16,25,6,3,16,13,39,0,0,22,11,0,4,4,0,108,10,4,7,4,10,11,0,0,0
4,37,utility_opportunist_vs_utility_balancer,utility_opportunist,utility_balancer,player,full_board_majority,player,full_board_majority,5,0,19,23,10,9,19,18,18,17,0,33,15,13,2,42,1,5,2,13,18,8,20,0,7,15,7,22,1,6,19,25,1,18,11,9,4,12,1,12,12,11,21,40,3
4,37,utility_opportunist_vs_utility_rusher,utility_opportunist,utility_rusher,enemy,full_board_majority,enemy,full_board_majority,5,0,18,23,9,9,16,21,15,20,0,33,31,22,9,18,1,5,2,16,18,11,10,0,9,15,20,8,1,7,27,9,4,14,29,5,7,12,6,12,12,2,6,9,3
4,37,utility_opportunist_vs_utility_economist,utility_opportunist,utility_economist,player,full_board_majority,player,full_board_majority,5,0,25,23,13,12,19,18,18,17,0,33,35,28,7,58,0,7,2,12,17,14,34,0,6,16,21,24,0,6,57,19,3,69,57,6,4,12,0,12,12,12,22,50,3
4,37,utility_opportunist_vs_utility_fortifier,utility_opportunist,utility_fortifier,player,full_board_majority,player,full_board_majority,5,0,21,23,11,10,19,18,18,17,0,33,16,12,4,56,0,7,2,10,15,11,28,0,5,18,5,28,0,5,43,31,0,10,25,7,4,12,3,4,12,12,24,52,3
4,37,utility_opportunist_vs_utility_aggro_turtle,utility_opportunist,utility_aggro_turtle,player,full_board_majority,player,full_board_majority,5,0,23,23,12,11,21,16,20,15,0,33,22,16,6,61,1,6,2,10,17,12,31,0,5,16,10,30,1,5,47,31,8,13,19,21,4,12,10,12,12,12,24,55,3
4,37,utility_opportunist_vs_utility_opportunist,utility_opportunist,utility_opportunist,enemy,full_board_majority,enemy,full_board_majority,5,0,22,23,11,11,18,19,17,18,0,33,21,21,0,53,0,6,2,14,17,10,25,0,7,16,11,28,0,7,27,34,8,43,32,4,12,12,12,4,12,1,24,53,3
5,61,phase_player_vs_phase_player,phase_player,phase_player,player,full_board_majority,player,full_board_majority,5,0,58,37,29,29,31,30,30,29,0,57,147,113,34,54,14,49,2,21,28,77,23,6,12,29,70,31,8,9,93,113,804,42,73,631,12,12,12,0,12,11,20,20,1
